==============================================================
  NetSupport RAT Infrastructure Hunter — 2026-03-20
==============================================================

📊 GESAMT AKTIVE HOSTS: 1975

🔴 NEU HEUTE (155)
  ⚠️ 80.92.205.12       AS44477    STARK INDUSTRIES SOLUTIONS LTD US  SSL:DESKTOP-2NFCDE2
  ⚠️ 45.140.167.32      AS44477    STARK INDUSTRIES SOLUTIONS LTD GB  SSL:DESKTOP-2NFCDE2
  ⚠️ 94.131.101.243     AS44477    STARK INDUSTRIES SOLUTIONS LTD US  SSL:DESKTOP-2NFCDE2
  ⚠️ 45.142.213.5       AS44477    STARK INDUSTRIES SOLUTIONS LTD LV  SSL:DESKTOP-TCRDU4C
  ⚠️ 176.125.243.107    AS44477    STARK INDUSTRIES SOLUTIONS LTD UA  SSL:WIN-TLEU26FTB20
  ⚠️ 50.114.179.185     AS44477    STARK INDUSTRIES SOLUTIONS LTD ES  SSL:WIN-4MIDV4D25BV
  ⚠️ 45.142.212.91      AS44477    STARK INDUSTRIES SOLUTIONS LTD MD  SSL:WIN-LIVFRVQFMKO
  ⚠️ 50.114.179.212     AS44477    STARK INDUSTRIES SOLUTIONS LTD ES  SSL:WIN-E92NI337DOL
  ⚠️ 95.164.22.205      AS44477    STARK INDUSTRIES SOLUTIONS LTD. MD  SSL:DESKTOP-TCRDU4C
     198.17.175.2       AS?                                     ??  SSL:DESKTOP-2NFCDE2
     193.23.216.111     AS214417   1Cent Host                   DE  SSL:DESKTOP-TCRDU4C
     77.91.66.201       AS214417   1Cent Host                   DE  SSL:WIN-J9D866ESIJ2
     138.226.237.214    AS?        ABB Asea Brown Boveri Ltd    CH  SSL:WIN-J9D866ESIJ2
     144.31.85.88       AS401152   Ace Data Centers II, L.L.C.  US  SSL:DESKTOP-2NFCDE2
     144.31.12.117      AS401152   Ace Data Centers II, L.L.C.  US  SSL:DESKTOP-TCRDU4C
     144.31.140.137     AS401152   Ace Data Centers II, L.L.C.  US  SSL:WIN-J9D866ESIJ2
     144.31.136.106     AS401152   Ace Data Centers II, L.L.C.  US  SSL:WIN-J9D866ESIJ2
     144.31.147.31      AS401152   Ace Data Centers II, L.L.C.  US  SSL:WIN-J9D866ESIJ2
     144.31.191.206     AS401152   Ace Data Centers II, L.L.C.  US  SSL:WIN-J9D866ESIJ2
     64.188.94.157      AS2914     Ace Data Centers II, LLC     DE  SSL:DESKTOP-TCRDU4C
     193.23.199.214     AS210457   Ace Data Centers II, LLC     US  SSL:WIN-J9D866ESIJ2
     193.23.199.151     AS210457   Ace Data Centers II, LLC     US  SSL:WIN-J9D866ESIJ2
     108.165.164.35     AS401152   Ace Data Centers, Inc.       US  SSL:WIN-J9D866ESIJ2
     108.165.164.38     AS401152   Ace Data Centers, Inc.       US  SSL:WIN-J9D866ESIJ2
     77.239.96.132      AS210644   Aeza International LTD       DE  SSL:DESKTOP-2NFCDE2
     176.98.191.47      AS213887   Axiom Asia Services PTE. LTD. SG  SSL:DESKTOP-TCRDU4C
     45.138.158.178     AS35682    BEST INTERNET SOLUTION XK    UZ  SSL:DESKTOP-TCRDU4C
     5.83.140.84        AS214320   Bisquit.host - high quality hosting DE  SSL:WIN-J9D866ESIJ2
     45.90.46.33        AS57271    BitWeb LLC                   RU  SSL:DESKTOP-TCRDU4C
     185.219.82.202     AS204601   Celeritas International LLC  NL  SSL:WIN-J9D866ESIJ2
     212.86.102.43      AS204601   Celeritas International LLC  NL  SSL:WIN-J9D866ESIJ2
     185.154.15.172     AS204601   Celeritas International LLC  NL  SSL:WIN-J9D866ESIJ2
     185.213.211.44     AS204601   Celeritas International LLC  NL  SSL:WIN-J9D866ESIJ2
     176.126.103.80     AS199785   Cloud Hosting Solutions, Limited. RU  SSL:DESKTOP-TCRDU4C
     150.241.116.65     AS215590   Cloud Hosting Solutions, Limited. DE  SSL:DESKTOP-TCRDU4C
     103.71.20.135      AS?        Cloud Solutions LLC          RU  SSL:WIN-J9D866ESIJ2
     103.71.20.148      AS?        Cloud Solutions LLC          RU  SSL:WIN-J9D866ESIJ2
     46.8.221.52        AS204490   Contel OOO                   RU  SSL:DESKTOP-TCRDU4C
     46.8.220.243       AS204490   Contel OOO                   RU  SSL:WIN-J9D866ESIJ2
     46.8.220.33        AS204490   Contel OOO                   RU  SSL:WIN-J9D866ESIJ2
     95.85.232.206      AS43708    DATAMAT CZ s.r.o.            CZ  SSL:WIN-J9D866ESIJ2
     212.192.253.78     AS16276    DLINE                        GB  SSL:WIN-J9D866ESIJ2
     94.141.161.179     AS215590   DpkgSoft International Limited DE  SSL:DESKTOP-2NFCDE2
     172.81.61.60       AS398019   Dynu Systems Incorporated    US  SSL:WIN-J9D866ESIJ2
     142.202.191.102    AS398019   Dynu Systems Incorporated    US  SSL:WIN-J9D866ESIJ2
     92.38.49.38        AS42447    EQU Technologies LLP         KZ  SSL:n/a
     194.41.112.72      AS?        Elisteka UAB                 MX  SSL:DESKTOP-TCRDU4C
     141.98.188.60      AS?        FAST GEO HOSTING S.R.L.      KR  SSL:DESKTOP-TCRDU4C
     194.55.136.4       AS41111    FAST GEO HOSTING S.R.L.      NL  SSL:WIN-J9D866ESIJ2
     45.90.219.172      AS205090   FIRST SERVER LIMITED         RU  SSL:WIN-J9D866ESIJ2
     185.105.91.238     AS205090   FIRST SERVER LIMITED         RU  SSL:WIN-J9D866ESIJ2
     45.95.203.107      AS205090   FIRST SERVER LIMITED         RU  SSL:WIN-J9D866ESIJ2
     185.105.88.139     AS205090   FIRST SERVER LIMITED         RU  SSL:WIN-J9D866ESIJ2
     185.105.89.254     AS205090   FIRST SERVER LIMITED         RU  SSL:WIN-J9D866ESIJ2
     45.95.202.212      AS205090   FIRST SERVER LIMITED         RU  SSL:WIN-J9D866ESIJ2
     45.90.218.125      AS205090   FIRST SERVER LIMITED         RU  SSL:WIN-J9D866ESIJ2
     185.233.83.46      AS205090   FIRST SERVER LIMITED         RU  SSL:WIN-J9D866ESIJ2
     193.109.78.213     AS204997   FIRST SERVER LIMITED         RU  SSL:WIN-J9D866ESIJ2
     77.90.25.134       AS215828   GHOSTNET GmbH                DE  SSL:WIN-J9D866ESIJ2
     193.233.127.168    AS215540   GLOBAL CONNECTIVITY SOLUTIONS LLP NL  SSL:DESKTOP-2NFCDE2
     89.23.107.198      AS215540   GLOBAL CONNECTIVITY SOLUTIONS LLP NL  SSL:DESKTOP-TCRDU4C
     185.39.207.153     AS215540   GLOBAL CONNECTIVITY SOLUTIONS LLP GR  SSL:WIN-J9D866ESIJ2
     185.39.207.194     AS215540   GLOBAL CONNECTIVITY SOLUTIONS LLP GR  SSL:WIN-J9D866ESIJ2
     5.34.182.84        AS15626    GREEN FLOID LLC              UA  SSL:WIN-J9D866ESIJ2
     91.196.32.122      AS207957   Germany, Frankfurt           DE  SSL:WIN-J9D866ESIJ2
     91.196.34.141      AS207957   Germany, Frankfurt           DE  SSL:WIN-J9D866ESIJ2
     45.129.99.235      AS201094   GmhostGrupp OU               UA  SSL:WIN-J9D866ESIJ2
     45.129.97.215      AS201094   GmhostGrupp OU               UA  SSL:WIN-J9D866ESIJ2
     185.234.114.177    AS211971   Goodhost.KZ                  KZ  SSL:WIN-J9D866ESIJ2
     185.234.114.84     AS211971   Goodhost.KZ                  KZ  SSL:WIN-J9D866ESIJ2
     195.123.240.171    AS204957   Green Floid LLC              US  SSL:WIN-J9D866ESIJ2
     195.123.224.152    AS59729    Green Floid LLC              BG  SSL:WIN-J9D866ESIJ2
     195.123.225.31     AS59729    Green Floid LLC              BG  SSL:WIN-J9D866ESIJ2
     185.125.50.2       AS215730   H2.NEXUS Frankfurt Network   DE  SSL:WIN-J9D866ESIJ2
     85.192.48.242      AS215730   H2.NEXUS Helsinki Network    FI  SSL:WIN-J9D866ESIJ2
     5.253.59.40        AS215540   HOST TELECOM LTD             NL  SSL:DESKTOP-2NFCDE2
     95.217.99.22       AS24940    Hetzner Online GmbH          FI  SSL:DESKTOP-2NFCDE2
     5.9.195.172        AS24940    Hetzner Online GmbH          DE  SSL:WIN-J9D866ESIJ2
     188.40.225.8       AS24940    Hetzner Online GmbH          DE  SSL:WIN-J9D866ESIJ2
     103.101.85.54      AS214408   Hosted by Internalhost       NL  SSL:DESKTOP-TCRDU4C
     176.126.164.200    AS59684    Hoster kg, Ltd.              KG  SSL:DESKTOP-TCRDU4C
