==============================================================
  NetSupport RAT Infrastructure Hunter — 2026-05-15
==============================================================

📊 GESAMT AKTIVE HOSTS: 1039

🔴 NEU HEUTE (7)
     185.191.141.208    AS?        BEST INTERNET SOLUTION XK    UZ  SSL:DESKTOP-TCRDU4C
     85.202.87.141      AS57271    BitWeb LLC                   RU  SSL:DESKTOP-2NFCDE2
     81.16.141.96       AS57271    BitWeb LLC                   RU  SSL:DESKTOP-TCRDU4C
     46.8.221.237       AS204490   Contel OOO                   RU  SSL:DESKTOP-TCRDU4C
     162.216.240.24     AS398019   Dynu Systems Incorporated    US  SSL:DESKTOP-2NFCDE2
     94.156.181.13      AS207957   SERV.HOST GROUP LTD          RU  SSL:DESKTOP-TCRDU4C
     185.244.163.44     AS212872   Skystark LLC                 RU  SSL:DESKTOP-2NFCDE2

💀 VERSCHWUNDEN (944)
   198.17.175.246     AS?                                     (seit 2026-03-10)
   195.226.192.193    AS201094                                (seit 2026-03-15)
   195.226.192.92     AS201094                                (seit 2026-03-16)
   195.226.192.117    AS201094                                (seit 2026-03-26)
   195.226.192.126    AS201094                                (seit 2026-04-11)
   195.226.192.14     AS201094                                (seit 2026-05-10)
   91.238.104.128     AS50321                                 (seit 2026-05-14)
   77.91.66.153       AS214417   1Cent Host                   (seit 2026-03-11)
   185.176.220.64     AS39845    2 Cloud Ltd.                 (seit 2026-03-10)
   185.176.220.96     AS39845    2 Cloud Ltd.                 (seit 2026-03-24)
   185.176.220.125    AS39845    2 Cloud Ltd.                 (seit 2026-04-15)
   83.242.100.73      AS198178   365.partners INC             (seit 2026-03-10)
   138.226.237.41     AS?        ABB Asea Brown Boveri Ltd    (seit 2026-03-16)
   77.239.125.167     AS216246   AEZA GROUP Ltd               (seit 2026-05-14)
   109.107.170.225    AS52000    ALEKSEI FEDOROV PR KRUSEVAC  (seit 2026-03-11)
   146.255.188.249    AS52000    ALEKSEI FEDOROV PR KRUSEVAC  (seit 2026-03-12)
   95.46.107.15       AS6876     ALFA TELECOM s.r.o.          (seit 2026-03-10)
   144.31.2.70        AS401152   Ace Data Centers II, L.L.C.  (seit 2026-03-10)
   144.31.2.27        AS401152   Ace Data Centers II, L.L.C.  (seit 2026-03-10)
   144.31.49.59       AS401152   Ace Data Centers II, L.L.C.  (seit 2026-03-11)
   144.31.73.227      AS401152   Ace Data Centers II, L.L.C.  (seit 2026-03-12)
   144.31.0.90        AS401152   Ace Data Centers II, L.L.C.  (seit 2026-03-16)
   144.31.25.246      AS401152   Ace Data Centers II, L.L.C.  (seit 2026-03-22)
   144.31.25.141      AS401152   Ace Data Centers II, L.L.C.  (seit 2026-03-22)
   144.31.233.95      AS401152   Ace Data Centers II, L.L.C.  (seit 2026-03-22)
   144.31.63.151      AS401152   Ace Data Centers II, L.L.C.  (seit 2026-03-28)
   144.31.0.17        AS401152   Ace Data Centers II, L.L.C.  (seit 2026-03-31)
   144.31.134.250     AS401152   Ace Data Centers II, L.L.C.  (seit 2026-04-06)
   144.31.51.190      AS401152   Ace Data Centers II, L.L.C.  (seit 2026-04-07)
   144.31.4.230       AS401152   Ace Data Centers II, L.L.C.  (seit 2026-04-13)
   144.31.108.38      AS401152   Ace Data Centers II, L.L.C.  (seit 2026-04-15)
   144.31.141.64      AS401152   Ace Data Centers II, L.L.C.  (seit 2026-04-15)
   144.31.51.16       AS401152   Ace Data Centers II, L.L.C.  (seit 2026-04-18)
   144.31.186.221     AS401152   Ace Data Centers II, L.L.C.  (seit 2026-04-23)
   144.31.142.217     AS401152   Ace Data Centers II, L.L.C.  (seit 2026-04-23)
   144.31.151.7       AS401152   Ace Data Centers II, L.L.C.  (seit 2026-05-10)
   144.31.66.23       AS401152   Ace Data Centers II, L.L.C.  (seit 2026-05-10)
   144.31.217.92      AS401152   Ace Data Centers II, L.L.C.  (seit 2026-05-10)
   144.31.108.160     AS401152   Ace Data Centers II, L.L.C.  (seit 2026-05-10)
   144.31.106.28      AS401152   Ace Data Centers II, L.L.C.  (seit 2026-05-10)
   144.31.233.146     AS401152   Ace Data Centers II, L.L.C.  (seit 2026-05-10)
   144.31.30.87       AS401152   Ace Data Centers II, L.L.C.  (seit 2026-05-10)
   144.31.165.81      AS401152   Ace Data Centers II, L.L.C.  (seit 2026-05-11)
   144.31.129.129     AS401152   Ace Data Centers II, L.L.C.  (seit 2026-05-14)
   144.31.106.139     AS401152   Ace Data Centers II, L.L.C.  (seit 2026-05-14)
   77.239.108.65      AS215590   Ace Data Centers II, LLC     (seit 2026-03-10)
   64.188.69.7        AS42831    Ace Data Centers II, LLC     (seit 2026-03-10)
   77.239.111.143     AS215590   Ace Data Centers II, LLC     (seit 2026-03-13)
   64.188.66.9        AS24768    Ace Data Centers II, LLC     (seit 2026-03-16)
   150.241.124.110    AS15440    Ace Data Centers II, LLC     (seit 2026-03-31)
   64.188.76.159      AS6939     Ace Data Centers II, LLC     (seit 2026-04-17)
   193.23.199.98      AS210457   Ace Data Centers II, LLC     (seit 2026-04-21)
   108.165.164.252    AS401152   Ace Data Centers, Inc.       (seit 2026-03-13)
   150.241.66.195     AS210644   Aeza International LTD       (seit 2026-03-10)
   77.239.100.60      AS210644   Aeza International LTD       (seit 2026-04-04)
