==============================================================
  NetSupport RAT Infrastructure Hunter — 2026-05-30
==============================================================

📊 GESAMT AKTIVE HOSTS: 1035

🔴 NEU HEUTE (4)
     46.8.220.63        AS204490   Contel OOO                   RU  SSL:DESKTOP-TCRDU4C
     2.27.31.108        AS12576    Orange WBC Broadband         GB  SSL:DESKTOP-2NFCDE2
     5.236.37.121       AS58224    Telecommunication Company of Mazandaran IR  SSL:n/a
     185.78.76.189      AS216127   nuxt.cloud hosting provider  DE  SSL:DESKTOP-TCRDU4C

💀 VERSCHWUNDEN (412)
   87.251.69.100      AS39238                                 (seit 2026-03-14)
   144.31.169.10      AS401152   Ace Data Centers II, L.L.C.  (seit 2026-04-08)
   150.241.115.20     AS215590   Cloud Hosting Solutions, Limited. (seit 2026-03-19)
   89.218.187.165     AS9198     Co-location                  (seit 2026-03-18)
   46.29.238.247      AS215540   GLOBAL INTERNET SOLUTIONS LLC (seit 2026-03-10)
   91.196.34.103      AS207957   Germany, Frankfurt           (seit 2026-03-17)
   81.19.131.43       AS63023    ISP IPOCEAN LLC              (seit 2026-03-10)
   45.138.159.224     AS34665    IT Hostline Ltd              (seit 2026-03-31)
   193.221.200.221    AS197757   ONER INVESTMENTS Ltd         (seit 2026-03-14)
   83.217.209.87      AS215826   Partner Hosting LTD          (seit 2026-03-10)
   185.102.115.124    AS215826   Partner Hosting LTD          (seit 2026-03-10)
   193.233.113.60     AS215826   Partner Hosting LTD          (seit 2026-03-12)
   83.217.209.115     AS215826   Partner Hosting LTD          (seit 2026-03-14)
   185.177.239.143    AS215826   Partner Hosting LTD          (seit 2026-03-28)
   95.164.53.107      AS213702   QWINS LTD                    (seit 2026-03-31)
   194.156.99.225     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   45.15.167.132      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   94.131.104.88      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   45.82.252.53       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   45.150.67.66       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   45.15.178.93       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   2.56.176.65        AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   45.153.230.175     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   185.231.205.248    AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   74.119.194.119     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.24      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   104.164.137.48     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   23.230.139.183     AS18779    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   23.27.0.214        AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   23.230.14.47       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.224     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.28      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.205     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.38      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.116     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.3       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   45.150.65.128      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.208     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.32      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.246     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.182     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   23.230.14.182      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
   50.114.179.207     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-03-10)
